issue,new_taxon,TAXON,GENUS,SPECIES,RANK,INFRASPECIFC,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,SECONDARY_ASSOCIATED_CROP_COMMON_NAME,FINEST_TAXON_RESOLUTION,CWR,WUS,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,CATEGORY,TIER,GENEPOOL,GRAFTSTOCK,ABIOTIC_TRAIT_2,ABIOTIC_TRAIT_3,BIOTIC_TRAIT_1,BIOTIC_TRAIT_2,FERTILITY_TRAIT,AGRONOMIC_TRAIT_1,AGRONOMIC_TRAIT_2,AGRONOMIC_TRAIT_3,PHENOLOGICAL_TRAIT,SOURCE_OF_TAXON,GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE,WUS_SOURCE
occurrence points but no download? Try to manually add them to the next GBIF output,,Helianthus petiolaris subsp. petiolaris,Helianthus,Helianthus petiolaris,subsp.,petiolaris,Sunflower,NA,Y,Y,N,,Y,Food,,NA,Oils,,,NA,1B,1,Secondary,,,,Disease Resistance (B),,,,,,,GRIN-Global 2021,GRIN-Global 2021,
synonym,Heracleum sphondylium subsp. montanum,Heracleum maximum,Heracleum,Heracleum maximum,NA,NA,Cow-parsnip,NA,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
occurrence points but no download? Try to manually add them to the next GBIF output,,Hordeum depressum,Hordeum,Hordeum depressum,NA,NA,Barley,NA,Y,Y,N,,N,Food,,NA,Cereals and pseudocereals,,,NA,1C,1,Tertiary,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
occurrence points but no download? Try to manually add them to the next GBIF output,,Hordeum pusillum,Hordeum,Hordeum pusillum,NA,NA,Barley,NA,Y,Y,N,,N,Food,,NA,Cereals and pseudocereals,,,NA,1C,1,Tertiary,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
occurrence points but no download? Try to manually add them to the next GBIF output,,Lathyrus lanszwertii,Lathyrus,Lathyrus lanszwertii,NA,NA,Lathyrus,NA,N,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
occurrence points but no download? Try to manually add them to the next GBIF output,,Lathyrus lanszwertii var. bijugatus,Lathyrus,Lathyrus lanszwertii,var.,bijugatus,Lathyrus,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Leymus villosissimus,Leymus mollis subsp. villosissimus,Leymus,Leymus mollis,subsp.,villosissimus,Barley,Wheat,Y,Y,Y,wild rye grass; grains,Y,Food,,Food,Cereals and pseudocereals,,,Cereals and pseudocereals,1C,1,Tertiary,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
occurrence points but no download? Try to manually add them to the next GBIF output,,Linum rigidum var. rigidum,Linum,Linum rigidum,var.,rigidum,Flax,NA,Y,Y,N,,Y,Materials,,NA,Materials,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
occurrence points but no download? Try to manually add them to the next GBIF output,,Linum virginianum,Linum,Linum virginianum,NA,NA,Flax,NA,Y,Y,N,,Y,Materials,,NA,Materials,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
synonym,Lupinus burkei,Lupinus polyphyllus var. burkei,Lupinus,Lupinus polyphyllus,var.,burkei,Andean lupin,NA,Y,Y,Y,used directly as an ornamental,Y,Food,Cultural,NA,Pulses,Ornamentals,,NA,1A,1,Progenitor,,,,,,Gene Transfer (F),Ornamental Features (AG),Crop Quality (AG),High Yield (AG),,GRIN-Global 2021,GRIN-Global 2021,Khoury et al. 2020
synonym,Mahonia aquifolium,Mahonia aquifolia,Mahonia,Mahonia aquifolia,NA,NA,Barberry,NA,Y,N,Y,fruit,Y,Food,,NA,Fruits,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
synonym,Sinomalus fusca,Malus fusca,Malus,Malus fusca,NA,NA,Apple,NA,Y,Y,Y,fruit,Y,Food,,NA,Fruits,,,NA,1A,1,Tertiary,Graftstock,,,Disease Resistance (B),,Gene Transfer (F),,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
synonym,Nuphar polysepalum,Nuphar polysepala,Nuphar,Nuphar polysepala,NA,NA,Water-lily,NA,Y,N,Y,,Y,Food,Cultural,NA,Vegetables,Medicinals,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
occurrence points but no download? Try to manually add them to the next GBIF output,,Oxybasis rubra var. rubra,Oxybasis,Oxybasis rubra,var.,rubra,Quinoa,NA,Y,Y,N,,Y,Food,,NA,Cereals and pseudocereals,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
synonym,Elymus smithii,Pascopyrum smithii,Pascopyrum,Pascopyrum smithii,NA,NA,Wheat,NA,Y,Y,N,,Y,Food,,NA,Cereals and pseudocereals,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
misspelling,Phalaris arundinacea var. arundinacea,Phalaris arundinacea var. arundinaceae,Phalaris,Phalaris arundinacea,var.,arundinaceae,Canary Grass,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,Restoration,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
misspelling,Poa gaspensis,Poa ×gaspensis,Poa,Poa ×gaspensis,NA,NA,Bluegrass,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Poa pattersonii,Poa abbreviata subsp. pattersonii,Poa,Poa abbreviata,subsp.,pattersonii,Bluegrass,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Poa tolmatchewii,Poa arctica subsp. caespitans,Poa,Poa arctica,subsp.,caespitans,Bluegrass,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Poa lanata,Poa arctica subsp. lanata,Poa,Poa arctica,subsp.,lanata,Bluegrass,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Poa hartzii,Poa hartzii subsp. vrangelica,Poa,Poa hartzii,subsp.,vrangelica,Bluegrass,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Poa alpigena,Poa pratensis subsp. alpigena,Poa,Poa pratensis,subsp.,alpigena,Bluegrass,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Poa angustifolia,Poa pratensis subsp. angustifolia,Poa,Poa pratensis,subsp.,angustifolia,Bluegrass,NA,Y,Y,N,,N,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Poa humilis,Poa pratensis subsp. irrigata,Poa,Poa pratensis,subsp.,irrigata,Bluegrass,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Poa juncifolia,Poa secunda subsp. juncifolia,Poa,Poa secunda,subsp.,juncifolia,Bluegrass,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Poa stenantha var. stenantha,Poa stenantha subsp. stenantha,Poa,Poa stenantha,subsp.,stenantha,Bluegrass,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Argentina anserina subsp. anserina,Potentilla anserina subsp. anserina,Potentilla,Potentilla anserina,subsp.,anserina,Potentilla,NA,Y,N,Y,,Y,Food,Cultural,NA,Vegetables,Medicinals,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
synonym,Argentina anserina subsp. groenlandica,Potentilla anserina subsp. groenlandica,Potentilla,Potentilla anserina,subsp.,groenlandica,Potentilla,NA,Y,N,Y,,Y,Food,Cultural,NA,Vegetables,Medicinals,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
synonym,Argentina anserina subsp. pacifica,Potentilla anserina subsp. pacifica,Potentilla,Potentilla anserina,subsp.,pacifica,Potentilla,NA,Y,N,Y,,Y,Food,Cultural,NA,Vegetables,Medicinals,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
synonym,Argentina anserina subsp. anserina,Potentilla anserina subsp. yukonensis,Potentilla,Potentilla anserina,subsp.,yukonensis,Potentilla,NA,Y,N,Y,,Y,Food,Cultural,NA,Vegetables,Medicinals,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
synonym,Prunus depressa,Prunus pumila var. depressa,Prunus,Prunus pumila,var.,depressa,"Apricot, Cherry, Peach, Plum",Almond,Y,Y,N,,Y,Food,Cultural,Food,Fruits,Ornamentals,Materials,Nuts,1A,1,Progenitor,Graftstock,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
synonym,Prunus susquehanae,Prunus pumila var. susquehanae,Prunus,Prunus pumila,var.,susquehanae,"Apricot, Cherry, Peach, Plum",Almond,Y,Y,N,,Y,Food,Cultural,Food,Fruits,Ornamentals,Materials,Nuts,1A,1,Progenitor,Graftstock,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
synonym,Elymus spicatus,Pseudoroegneria spicata,Pseudoroegneria,Pseudoroegneria spicata,NA,NA,Wheat,NA,Y,Y,N,,Y,Food,,NA,Cereals and pseudocereals,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
misspelling,Ribes aureum var. villosum,Ribes aureum var. vilosum,Ribes,Ribes aureum,var.,vilosum,"Currant, Gooseberry",NA,Y,Y,Y,fruit,N,Food,,NA,Fruits,Ornamentals,,NA,1A,1,Tertiary,Graftstock,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
occurrence points but no download? Try to manually add them to the next GBIF output,,Ribes oxyacanthoides subsp. irriguum,Ribes,Ribes oxyacanthoides,subsp.,irriguum,"Currant, Gooseberry",NA,Y,Y,Y,fruit,Y,Food,,NA,Fruits,Ornamentals,,NA,1B,1,Secondary,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
synonym,Ribes viscosissimum,Ribes viscosissimum var. viscosissimum,Ribes,Ribes viscosissimum,var.,viscosissimum,"Currant, Gooseberry",NA,Y,Y,Y,fruit,Y,Food,,NA,Fruits,Ornamentals,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
occurrence points but no download? Try to manually add them to the next GBIF output,,Rosa virginiana subsp. virginiana,Rosa,Rosa virginiana,subsp.,virginiana,Rose,NA,Y,N,Y,fruit,Y,Food,,NA,Fruits,Ornamentals,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
occurrence points but no download? Try to manually add them to the next GBIF output,,Rubus ×paracaulis,Rubus,Rubus ×paracaulis,NA,NA,"Blackberry, Raspberry",NA,Y,Y,Y,fruit,Y,Food,,NA,Fruits,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
synonym,Rubus recurvicaulis,Rubus ×recurvicaulis,Rubus,Rubus ×recurvicaulis,NA,NA,"Blackberry, Raspberry",NA,Y,Y,Y,fruit,Y,Food,,NA,Fruits,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
occurrence points but no download? Try to manually add them to the next GBIF output,,Rubus ×setosus,Rubus,Rubus ×setosus,NA,NA,"Blackberry, Raspberry",NA,Y,Y,Y,fruit,Y,Food,,NA,Fruits,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
occurrence points but no download? Try to manually add them to the next GBIF output,,Rubus chloocladus,Rubus,Rubus chloocladus,NA,NA,"Blackberry, Raspberry",NA,Y,Y,Y,fruit,Y,Food,,NA,Fruits,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
misspelling,Rubus idaeus subsp. idaeus,Rubus idaeus subsp. Idaeus,Rubus,Rubus idaeus,subsp.,Idaeus,"Blackberry, Raspberry",NA,Y,Y,Y,"fruit, shoots, leaves for tea",N,Food,,NA,Fruits,,,NA,1A,1,Primary,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
synonym,Salix exigua,Salix exigua var. exigua,Salix,Salix exigua,var.,exigua,Willow,NA,Y,N,Y,leaves,Y,Cultural,Food,NA,Medicinals,Vegetables,Forest Resources,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
synonym,Salix exigua,Salix exigua var. hindsiana,Salix,Salix exigua,var.,hindsiana,Willow,NA,Y,N,Y,leaves,Y,Cultural,Food,NA,Medicinals,Vegetables,Forest Resources,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
synonym,Salix lucida,Salix lasiandra,Salix,Salix lasiandra,NA,NA,Willow,NA,N,N,Y,,Y,Cultural,Forest Resources,NA,Medicinals,Forest Resources,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
synonym,Salix lucida subsp. lasiandra,Salix lasiandra var. lasiandra,Salix,Salix lasiandra,var.,lasiandra,Willow,NA,Y,N,Y,,Y,Cultural,Forest Resources,NA,Medicinals,Forest Resources,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
no occurrence points in Canada,,Schizachyrium scoparium subsp. scoparium,Schizachyrium,Schizachyrium scoparium,subsp.,scoparium,Bluestem,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
"synonym, no occurrence in Canada of correct name",Sedum oreganum subsp. oreganum,Sedum oreganum var. oreganum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"synonym, no occurrence in Canada of correct name",Sedum oreganum subsp. tenue,Sedum oreganum var. tenue,Sedum,Sedum oreganum,var.,tenue,Sedum,NA,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
no occurrence points in Canada,,Silphium integrifolium var. laeve,Silphium,Silphium integrifolium,var.,laeve,Rosinweed,NA,Y,Y,N,,N,Cultural,Food,NA,Medicinals,Oils,,NA,2,2,Primary,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
no occurrence points in Canada,,Silphium perfoliatum var. perfoliatum,Silphium,Silphium perfoliatum,var.,perfoliatum,Rosinweed,NA,Y,Y,N,,Y,Cultural,Food,NA,Medicinals,Oils,,NA,2,2,Secondary,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
occurrence points but no download? Try to manually add them to the next GBIF output,,Vaccinium ×nubigenum,Vaccinium,Vaccinium ×nubigenum,NA,NA,Blueberry,NA,Y,Y,Y,newfoundland bilberry; fruits,Y,Food,,NA,Fruits,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
synonym,Vaccinium macrocarpum,Vaccinium macrocarpon,Vaccinium,Vaccinium macrocarpon,NA,NA,Cranberry,NA,Y,Y,Y,"fruit, leaves and fruit as tea",Y,Food,,NA,Fruits,,,NA,1A,1,Primary,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
synonym,Viburnum nudum var. cassinoides,Viburnum cassinoides,Viburnum,Viburnum cassinoides,NA,NA,Highbush cranberry,NA,Y,N,Y,fruit,Y,Cultural,,NA,Ornamentals,,,NA,NA,NA,NA,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
synonym,Viburnum recognitum,Viburnum dentatum var. lucidum,Viburnum,Viburnum dentatum,var.,lucidum,Highbush cranberry,NA,Y,N,Y,fruit,Y,Cultural,,NA,Ornamentals,,,NA,NA,NA,NA,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
synonym,Vicia americana var. americana,Vicia americana subsp. americana,Vicia,Vicia americana,subsp.,americana,Vetch,NA,Y,Y,Y,seeds,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
synonym,Zizania aquatica var. interior,Zizania palustris var. interior,Zizania,Zizania palustris,var.,interior,"Rice, Wild-rice",NA,Y,Y,Y,"wild rice', grains",Y,Food,,NA,Cereals and pseudocereals,,,NA,1A,1,Primary,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
