"","ACCESSION","NAME","TAXONOMY","ORIGIN","REPOSITORY","RECEIVED","COORDINATES","Taxon","Genus","Species","Rank","Infraspecific"
"274","PI 452471","R-24","Medicago sativa L. subsp. sativa","Canada","W6",1980,"59.50000000, -111.83333333","Medicago sativa Subsp. sativa","Medicago","Medicago sativa","Subsp.","sativa"
"275","PI 452473","CN 37531","Medicago sativa L. subsp. sativa","Canada","W6",1980,"54.50000000, -117.50000000","Medicago sativa Subsp. sativa","Medicago","Medicago sativa","Subsp.","sativa"
"276","PI 452484","R-15","Melilotus officinalis (L.) Lam.","Canada","NC7",1980,"55.00000000, -121.00000000","Melilotus officinalis  ","Melilotus","Melilotus officinalis","",""
"277","PI 452485","R-11","Trifolium arvense L.","Canada","S9",1980,"52.50000000, -122.00000000","Trifolium arvense  ","Trifolium","Trifolium arvense","",""
"278","PI 495165","18","Medicago arabica (L.) Huds.","Canada","W6",1985,"","Medicago arabica  ","Medicago","Medicago arabica","",""
"279","PI 495228","129b","Medicago constricta Durieu","Canada","W6",1985,"","Medicago constricta  ","Medicago","Medicago constricta","",""
"280","PI 495254","1854","Medicago constricta Durieu","Canada","W6",1985,"","Medicago constricta  ","Medicago","Medicago constricta","",""
"281","PI 495336","351","Medicago murex Willd.","Canada","W6",1985,"","Medicago murex  ","Medicago","Medicago murex","",""
"282","PI 495337","352","Medicago murex Willd.","Canada","W6",1985,"","Medicago murex  ","Medicago","Medicago murex","",""
"283","PI 495338","353","Medicago lesinsii E. Small","Canada","W6",1985,"","Medicago lesinsii  ","Medicago","Medicago lesinsii","",""
"284","PI 495339","353a","Medicago lesinsii E. Small","Canada","W6",1985,"","Medicago lesinsii  ","Medicago","Medicago lesinsii","",""
"285","PI 495340","353b","Medicago lesinsii E. Small","Canada","W6",1985,"","Medicago lesinsii  ","Medicago","Medicago lesinsii","",""
"286","PI 495385","1956","Medicago murex Willd.","Manitoba, Canada","W6",1985,"49.83333333, -99.95000000","Medicago murex  ","Medicago","Medicago murex","",""
"287","PI 495387","2042","Medicago murex Willd.","Canada","W6",1985,"","Medicago murex  ","Medicago","Medicago murex","",""
"288","PI 495416","408","Medicago praecox DC.","Canada","W6",1985,"","Medicago praecox  ","Medicago","Medicago praecox","",""
"289","PI 495417","461","Medicago praecox DC.","Canada","W6",1985,"","Medicago praecox  ","Medicago","Medicago praecox","",""
"290","PI 495435","479","Medicago rigidula (L.) All.","Canada","W6",1985,"","Medicago rigidula  ","Medicago","Medicago rigidula","",""
"291","PI 495436","480","Medicago rigidula (L.) All.","Canada","W6",1985,"","Medicago rigidula  ","Medicago","Medicago rigidula","",""
"292","PI 495437","481","Medicago rigidula (L.) All.","Canada","W6",1985,"","Medicago rigidula  ","Medicago","Medicago rigidula","",""
"293","PI 495438","482","Medicago rigidula (L.) All.","Canada","W6",1985,"","Medicago rigidula  ","Medicago","Medicago rigidula","",""
"294","PI 495440","484","Medicago rigidula (L.) All.","Canada","W6",1985,"","Medicago rigidula  ","Medicago","Medicago rigidula","",""
"295","PI 495441","485","Medicago rigidula (L.) All.","Canada","W6",1985,"","Medicago rigidula  ","Medicago","Medicago rigidula","",""
"296","PI 495442","486","Medicago rigiduloides E. Small","Canada","W6",1985,"","Medicago rigiduloides  ","Medicago","Medicago rigiduloides","",""
"297","PI 495444","489","Medicago rigiduloides E. Small","Canada","W6",1985,"","Medicago rigiduloides  ","Medicago","Medicago rigiduloides","",""
"298","PI 495445","489b","Medicago rigiduloides E. Small","Canada","W6",1985,"","Medicago rigiduloides  ","Medicago","Medicago rigiduloides","",""
"299","PI 495446","491","Medicago rigiduloides E. Small","Canada","W6",1985,"","Medicago rigiduloides  ","Medicago","Medicago rigiduloides","",""
"300","PI 495447","492","Medicago rigidula (L.) All.","Canada","W6",1985,"","Medicago rigidula  ","Medicago","Medicago rigidula","",""
"301","PI 495448","492b","Medicago rigidula (L.) All.","Canada","W6",1985,"","Medicago rigidula  ","Medicago","Medicago rigidula","",""
"302","PI 495546","1805","Medicago rigidula (L.) All.","Canada","W6",1985,"","Medicago rigidula  ","Medicago","Medicago rigidula","",""
"303","PI 495549","1929","Medicago rigiduloides E. Small","Manitoba, Canada","W6",1985,"49.83333333, -99.95000000","Medicago rigiduloides  ","Medicago","Medicago rigiduloides","",""
"304","PI 495550","1930","Medicago rigidula (L.) All.","Manitoba, Canada","W6",1985,"49.83333333, -99.95000000","Medicago rigidula  ","Medicago","Medicago rigidula","",""
"305","PI 495551","1931","Medicago rigidula (L.) All.","Manitoba, Canada","W6",1985,"49.83333333, -99.95000000","Medicago rigidula  ","Medicago","Medicago rigidula","",""
"306","PI 495552","1932","Medicago rigidula (L.) All.","Manitoba, Canada","W6",1985,"49.83333333, -99.95000000","Medicago rigidula  ","Medicago","Medicago rigidula","",""
"307","PI 495553","1933","Medicago rigiduloides E. Small","Manitoba, Canada","W6",1985,"49.83333333, -99.95000000","Medicago rigiduloides  ","Medicago","Medicago rigiduloides","",""
"308","PI 495554","1934","Medicago rigidula (L.) All.","Manitoba, Canada","W6",1985,"49.83333333, -99.95000000","Medicago rigidula  ","Medicago","Medicago rigidula","",""
"309","PI 495555","1935","Medicago rigidula (L.) All.","Manitoba, Canada","W6",1985,"49.83333333, -99.95000000","Medicago rigidula  ","Medicago","Medicago rigidula","",""
"310","PI 495556","1936","Medicago rigidula (L.) All.","Manitoba, Canada","W6",1985,"49.83333333, -99.95000000","Medicago rigidula  ","Medicago","Medicago rigidula","",""
"311","PI 495557","1937","Medicago rigiduloides E. Small","Manitoba, Canada","W6",1985,"49.83333333, -99.95000000","Medicago rigiduloides  ","Medicago","Medicago rigiduloides","",""
"312","PI 495558","1939","Medicago rigidula (L.) All.","Manitoba, Canada","W6",1985,"49.83333333, -99.95000000","Medicago rigidula  ","Medicago","Medicago rigidula","",""
"313","PI 495559","1940","Medicago rigiduloides E. Small","Manitoba, Canada","W6",1985,"49.83333333, -99.95000000","Medicago rigiduloides  ","Medicago","Medicago rigiduloides","",""
"314","PI 495576","CPI 134991","Medicago rotata Boiss.","Canada","W6",1985,"","Medicago rotata  ","Medicago","Medicago rotata","",""
"315","PI 498843","248","Medicago laciniata (L.) Mill.","Canada","W6",1985,"","Medicago laciniata  ","Medicago","Medicago laciniata","",""
"316","PI 498931","324","Medicago minima (L.) Bartal.","Canada","W6",1985,"","Medicago minima  ","Medicago","Medicago minima","",""
"317","PI 499153","CPI 135008","Medicago sauvagei Nègre","Canada","W6",1985,"","Medicago sauvagei  ","Medicago","Medicago sauvagei","",""
"318","PI 531567","211","Elymus canadensis L.","Alberta, Canada","W6",1988,"","Elymus canadensis  ","Elymus","Elymus canadensis","",""
"319","PI 531617","","Elymus interruptus Buckley","Manitoba, Canada","W6",1988,"","Elymus interruptus  ","Elymus","Elymus interruptus","",""
"320","PI 531633","D-1247","Elymus macrourus (Turcz. ex Steud.) Tzvelev","Canada","W6",1988,"","Elymus macrourus  ","Elymus","Elymus macrourus","",""
"321","PI 531708","PGR-2425","Elymus wiegandii Fernald","Ontario, Canada","W6",1988,"","Elymus wiegandii  ","Elymus","Elymus wiegandii","",""
"322","PI 531723","6.00E-05","Thinopyrum intermedium (Host) Barkworth & D. R. Dewey","Canada","W6",1988,"","Thinopyrum intermedium  ","Thinopyrum","Thinopyrum intermedium","",""
"323","PI 531805","D-1248","Leymus innovatus (Beal) Pilg.","Canada","W6",1988,"","Leymus innovatus  ","Leymus","Leymus innovatus","",""
"324","PI 545681","Index Seminum 2","Rhus copallinum L.","Ontario, Canada","NC7",1984,"42.70000000, -80.56666667","Rhus copallinum  ","Rhus","Rhus copallinum","",""
"325","PI 545682","Index Seminum 61","Aronia melanocarpa (Michx.) Elliott","Ontario, Canada","NC7",1984,"42.61666667, -82.48333333","Aronia melanocarpa  ","Aronia","Aronia melanocarpa","",""
"326","PI 545686","Ames 3198","Aronia melanocarpa (Michx.) Elliott","Ontario, Canada","NC7",1984,"42.37652300, -82.40340800","Aronia melanocarpa  ","Aronia","Aronia melanocarpa","",""
"327","PI 547377","D-3632","Elymus lanceolatus (Scribn. & J. G. Sm.) Gould","Alberta, Canada","W6",1991,"","Elymus lanceolatus  ","Elymus","Elymus lanceolatus","",""
"328","PI 551639","F. virginiana subsp. glauca Cyprus Hills Alberta","Fragaria virginiana Mill. subsp. glauca (S. Watson) Staudt","Alberta, Canada","COR",1984,"49.66556000, -110.26139000","Fragaria virginiana Subsp. glauca","Fragaria","Fragaria virginiana","Subsp.","glauca"
"329","PI 551640","F. virginiana subsp. glauca A11","Fragaria virginiana Mill. subsp. glauca (S. Watson) Staudt","British Columbia, Canada","COR",1984,"49.63317000, -114.92340000","Fragaria virginiana Subsp. glauca","Fragaria","Fragaria virginiana","Subsp.","glauca"
"330","PI 551641","F. virginiana subsp. glauca A6","Fragaria virginiana Mill. subsp. glauca (S. Watson) Staudt","Alberta, Canada","COR",1984,"49.62620000, -114.66905000","Fragaria virginiana Subsp. glauca","Fragaria","Fragaria virginiana","Subsp.","glauca"
"331","PI 553795","R. nutkanus A7","Rubus nutkanus Moc. ex Ser.","British Columbia, Canada","COR",1984,"49.62620000, -114.66905000","Rubus nutkanus  ","Rubus","Rubus nutkanus","",""
"332","PI 555017","V. macrocarpon Maine 70-28","Vaccinium macrocarpon Aiton","Nova Scotia, Canada","COR",1990,"","Vaccinium macrocarpon  ","Vaccinium","Vaccinium macrocarpon","",""
"333","PI 555310","V. membranaceum Alberta","Vaccinium membranaceum Douglas ex Torr.","Alberta, Canada","COR",1984,"51.72047000, -116.49349000","Vaccinium membranaceum  ","Vaccinium","Vaccinium membranaceum","",""
"334","PI 555795","R. cereum 89012","Ribes cereum Douglas","British Columbia, Canada","COR",1989,"49.60000000, -119.68333333","Ribes cereum  ","Ribes","Ribes cereum","",""
"335","PI 556263","'Jahns Prairie'","Ribes oxyacanthoides L.","Alberta, Canada","COR",1984,"51.64972222, -112.90388889","Ribes oxyacanthoides  ","Ribes","Ribes oxyacanthoides","",""
"336","PI 557601","M. canadensis 10257","Mentha canadensis L.","Ontario, Canada","COR",1983,"","Mentha canadensis  ","Mentha","Mentha canadensis","",""
"337","PI 557615","M. canadensis Type 3","Mentha canadensis L.","Québec, Canada","COR",1989,"50.00000000, -70.00000000","Mentha canadensis  ","Mentha","Mentha canadensis","",""
"338","PI 557616","M. canadensis Type 1","Mentha canadensis L.","Québec, Canada","COR",1989,"50.00000000, -70.00000000","Mentha canadensis  ","Mentha","Mentha canadensis","",""
"339","PI 557625","M. canadensis P-94","Mentha canadensis L.","Québec, Canada","COR",1990,"47.00000000, -71.00000000","Mentha canadensis  ","Mentha","Mentha canadensis","",""
"340","PI 557629","M. canadensis III-1g","Mentha canadensis L.","Ontario, Canada","COR",1991,"","Mentha canadensis  ","Mentha","Mentha canadensis","",""
"341","PI 559423","WLP 677","Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.","Saskatchewan, Canada",NA,1989,"52.16667000, -106.63333000","Amelanchier alnifolia  ","Amelanchier","Amelanchier alnifolia","",""
"342","PI 559430","WLP 688","Amelanchier cusickii Fernald","British Columbia, Canada",NA,1989,"49.31667000, -119.46667000","Amelanchier cusickii  ","Amelanchier","Amelanchier cusickii","",""
"343","PI 561060","Ames 7765","Agastache foeniculum (Pursh) Kuntze","Manitoba, Canada","NC7",1987,"49.17948600, -98.18890100","Agastache foeniculum  ","Agastache","Agastache foeniculum","",""
"344","PI 561062","Ames 7988","Agastache foeniculum (Pursh) Kuntze","Manitoba, Canada","NC7",1987,"49.70550000, -99.15080000","Agastache foeniculum  ","Agastache","Agastache foeniculum","",""
"345","PI 561063","Ames 8001","Agastache foeniculum (Pursh) Kuntze","Manitoba, Canada","NC7",1988,"49.71110200, -95.15650700","Agastache foeniculum  ","Agastache","Agastache foeniculum","",""
"346","PI 564830","No. 167","Diervilla lonicera Mill.","Québec, Canada","NC7",1990,"","Diervilla lonicera  ","Diervilla","Diervilla lonicera","",""
"347","PI 577329","2702","Medicago littoralis Rohde ex Loisel.","Alberta, Canada","W6",1990,"","Medicago littoralis  ","Medicago","Medicago littoralis","",""
"348","PI 577333","1799","Medicago lupulina L.","Ontario, Canada","W6",1990,"","Medicago lupulina  ","Medicago","Medicago lupulina","",""
"349","PI 577341","132","Medicago minima (L.) Bartal.","Alberta, Canada","W6",1990,"","Medicago minima  ","Medicago","Medicago minima","",""
"350","PI 577365","2412","Medicago orbicularis (L.) Bartal.","Alberta, Canada","W6",1990,"","Medicago orbicularis  ","Medicago","Medicago orbicularis","",""
"351","PI 577450","2286","Medicago prostrata Jacq.","Alberta, Canada","W6",1990,"","Medicago prostrata  ","Medicago","Medicago prostrata","",""
"352","PI 578120","Ames 13144","Spiraea tomentosa L.","Québec, Canada","NC7",1990,"","Spiraea tomentosa  ","Spiraea","Spiraea tomentosa","",""
"353","PI 592304","ANN-2294","Helianthus annuus L.","Alberta, Canada","NC7",1994,"51.64916667, -112.69527778","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"354","PI 592305","ANN-2295","Helianthus annuus L.","Alberta, Canada","NC7",1994,"51.64861111, -113.07583333","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"355","PI 592306","ANN-2296","Helianthus annuus L.","Alberta, Canada","NC7",1994,"49.95222222, -112.78027778","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"356","PI 592307","ANN-2297","Helianthus annuus L.","Alberta, Canada","NC7",1994,"49.65888889, -112.79305556","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"357","PI 592308","ANN-2298","Helianthus annuus L.","Alberta, Canada","NC7",1994,"49.46500000, -112.59555556","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"358","PI 592309","ANN-2299","Helianthus annuus L.","Alberta, Canada","NC7",1994,"49.95194444, -110.24750000","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"359","PI 592310","ANN-2302","Helianthus annuus L.","Saskatchewan, Canada","NC7",1994,"50.61305556, -108.45166667","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"360","PI 592311","ANN-2303","Helianthus annuus L.","Saskatchewan, Canada","NC7",1994,"50.39361111, -108.48027778","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"361","PI 592313","ANN-2305","Helianthus annuus L.","Saskatchewan, Canada","NC7",1994,"50.33944444, -107.47083333","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"362","PI 592314","ANN-2307","Helianthus annuus L.","Saskatchewan, Canada","NC7",1994,"50.74750000, -108.03611111","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"363","PI 592315","ANN-2308","Helianthus annuus L.","Saskatchewan, Canada","NC7",1994,"50.86277778, -107.57805556","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"364","PI 592316","ANN-2309","Helianthus annuus L.","Saskatchewan, Canada","NC7",1994,"50.66000000, -105.66472222","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"365","PI 592317","ANN-2310","Helianthus annuus L.","Saskatchewan, Canada","NC7",1994,"50.35500000, -105.53361111","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"366","PI 592318","ANN-2311","Helianthus annuus L.","Saskatchewan, Canada","NC7",1994,"50.16305556, -105.44138889","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"367","PI 592319","ANN-2312","Helianthus annuus L.","Saskatchewan, Canada","NC7",1994,"50.16805556, -105.11722222","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"368","PI 592320","ANN-2313","Helianthus annuus L.","Saskatchewan, Canada","NC7",1994,"50.04750000, -104.70722222","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"369","PI 592321","ANN-2315","Helianthus annuus L.","Saskatchewan, Canada","NC7",1994,"49.40638889, -104.29111111","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"370","PI 592322","ANN-2316","Helianthus annuus L.","Saskatchewan, Canada","NC7",1994,"49.14583333, -104.21083333","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"371","PI 592323","ANN-2317","Helianthus annuus L.","Saskatchewan, Canada","NC7",1994,"49.23166667, -103.26194444","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"372","PI 592324","ANN-2318","Helianthus annuus L.","Saskatchewan, Canada","NC7",1994,"49.23194444, -102.99916667","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"373","PI 592325","ANN-2321","Helianthus annuus L.","Saskatchewan, Canada","NC7",1994,"49.22638889, -101.64055556","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"374","PI 592326","ANN-2327","Helianthus annuus L.","Manitoba, Canada","NC7",1994,"49.17777778, -100.30222222","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"375","PI 592327","ANN-2330","Helianthus annuus L.","Manitoba, Canada","NC7",1994,"49.10277778, -100.74666667","Helianthus annuus  ","Helianthus","Helianthus annuus","",""
"376","PI 592328","MAX-2277","Helianthus maximiliani Schrad.","Manitoba, Canada","NC7",1994,"49.05000000, -99.33333333","Helianthus maximiliani  ","Helianthus","Helianthus maximiliani","",""
"377","PI 592329","MAX-2279","Helianthus maximiliani Schrad.","Manitoba, Canada","NC7",1994,"49.19222222, -98.16333333","Helianthus maximiliani  ","Helianthus","Helianthus maximiliani","",""
"378","PI 592330","MAX-2280","Helianthus maximiliani Schrad.","Manitoba, Canada","NC7",1994,"49.36972222, -98.00333333","Helianthus maximiliani  ","Helianthus","Helianthus maximiliani","",""
"379","PI 592331","MAX-2284","Helianthus maximiliani Schrad.","Manitoba, Canada","NC7",1994,"50.24861111, -99.47666667","Helianthus maximiliani  ","Helianthus","Helianthus maximiliani","",""
"380","PI 592332","MAX-2323","Helianthus maximiliani Schrad.","Manitoba, Canada","NC7",1994,"49.98138889, -100.59944444","Helianthus maximiliani  ","Helianthus","Helianthus maximiliani","",""
"381","PI 592333","MAX-2325","Helianthus maximiliani Schrad.","Manitoba, Canada","NC7",1994,"49.70916667, -99.96222222","Helianthus maximiliani  ","Helianthus","Helianthus maximiliani","",""
"382","PI 592334","MAX-2326","Helianthus maximiliani Schrad.","Manitoba, Canada","NC7",1994,"49.37388889, -100.01416667","Helianthus maximiliani  ","Helianthus","Helianthus maximiliani","",""
"383","PI 592335","MAX-2332","Helianthus maximiliani Schrad.","Manitoba, Canada","NC7",1994,"49.48611111, -100.53277778","Helianthus maximiliani  ","Helianthus","Helianthus maximiliani","",""
"384","PI 592336","MAX-2333","Helianthus maximiliani Schrad.","Manitoba, Canada","NC7",1994,"49.73888889, -100.22805556","Helianthus maximiliani  ","Helianthus","Helianthus maximiliani","",""
"385","PI 592337","MAX-2335","Helianthus maximiliani Schrad.","Manitoba, Canada","NC7",1994,"49.65777778, -99.75750000","Helianthus maximiliani  ","Helianthus","Helianthus maximiliani","",""
"386","PI 592338","MAX-2337","Helianthus maximiliani Schrad.","Manitoba, Canada","NC7",1994,"49.08888889, -99.28944444","Helianthus maximiliani  ","Helianthus","Helianthus maximiliani","",""
"387","PI 592339","MAX-2339","Helianthus maximiliani Schrad.","Manitoba, Canada","NC7",1994,"49.73833333, -97.83666667","Helianthus maximiliani  ","Helianthus","Helianthus maximiliani","",""
"388","PI 592340","MAX-2281","Helianthus nuttallii Torr. & A. Gray","Manitoba, Canada","NC7",1994,"49.37027778, -98.29027778","Helianthus nuttallii  ","Helianthus","Helianthus nuttallii","",""
"389","PI 592341","MAX-2338","Helianthus nuttallii Torr. & A. Gray","Manitoba, Canada","NC7",1994,"49.63027778, -98.34583333","Helianthus nuttallii  ","Helianthus","Helianthus nuttallii","",""
"390","PI 592342","NUT-2285","Helianthus nuttallii Torr. & A. Gray subsp. rydbergii (Britton) R. W. Long","Manitoba, Canada","NC7",1994,"50.61472222, -99.34000000","Helianthus nuttallii Subsp. rydbergii","Helianthus","Helianthus nuttallii","Subsp.","rydbergii"
"391","PI 592343","NUT-2286","Helianthus nuttallii Torr. & A. Gray subsp. rydbergii (Britton) R. W. Long","Manitoba, Canada","NC7",1994,"50.76972222, -99.49777778","Helianthus nuttallii Subsp. rydbergii","Helianthus","Helianthus nuttallii","Subsp.","rydbergii"
"392","PI 592344","NUT-2287","Helianthus nuttallii Torr. & A. Gray subsp. rydbergii (Britton) R. W. Long","Manitoba, Canada","NC7",1994,"51.06916667, -99.93972222","Helianthus nuttallii Subsp. rydbergii","Helianthus","Helianthus nuttallii","Subsp.","rydbergii"
"393","PI 592345","NUT-2289","Helianthus nuttallii Torr. & A. Gray subsp. rydbergii (Britton) R. W. Long","Manitoba, Canada","NC7",1994,"52.10138889, -100.73194444","Helianthus nuttallii Subsp. rydbergii","Helianthus","Helianthus nuttallii","Subsp.","rydbergii"
