"","TAXON","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","GENUS","SPECIES","RANK","INFRASPECIFIC","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","TIER","GENEPOOL","CATEGORY","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","total_accessions","garden_accessions","genebank_accessions"
"159","Astragalus crassicarpus","Milk-vetch","Astragalus","Astragalus crassicarpus",NA,NA,"N","Y","Y","unripe pods and seeds","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",1,0,1
"160","Astragalus drummondii","Milk-vetch","Astragalus","Astragalus drummondii",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",1,0,1
"161","Astragalus filipes","Milk-vetch","Astragalus","Astragalus filipes",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",2,0,2
"162","Astragalus laxmannii var. robustior","Milk-vetch","Astragalus","Astragalus laxmannii","var.","robustior","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",2,0,2
"163","Astragalus miser var. serotinus","Milk-vetch","Astragalus","Astragalus miser","var.","serotinus","Y","Y","Y","seeds","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",1,0,1
"164","Astragalus purshii var. purshii","Milk-vetch","Astragalus","Astragalus purshii","var.","purshii","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",1,0,1
"165","Astragalus racemosus","Milk-vetch","Astragalus","Astragalus racemosus",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",1,0,1
"166","Astragalus robbinsii var. minor","Milk-vetch","Astragalus","Astragalus robbinsii","var.","minor","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",1,0,1
"167","Astragalus spatulatus","Milk-vetch","Astragalus","Astragalus spatulatus",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",1,0,1
"168","Bromus anomalus","Bromegrass","Bromus","Bromus anomalus",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",16,0,16
"169","Bromus pacificus","Bromegrass","Bromus","Bromus pacificus",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",1,0,1
"170","Bromus pubescens","Bromegrass","Bromus","Bromus pubescens",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",2,0,2
"171","Bromus sitchensis","Bromegrass","Bromus","Bromus sitchensis",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",3,0,3
"172","Festuca subverticillata","Fescue","Festuca","Festuca subverticillata",NA,NA,"Y","Y","N","","Y","Food","Ornamentals",NA,"Forage and Feed","Ornamentals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",2,0,2
"173","Hedysarum occidentale","Sainfoin","Hedysarum","Hedysarum occidentale",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",1,0,1
"174","Lathyrus japonicus","Lathyrus","Lathyrus","Lathyrus japonicus",NA,NA,"Y","Y","Y","beach pea; seeds","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",9,0,9
"175","Lathyrus littoralis","Lathyrus","Lathyrus","Lathyrus littoralis",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",1,0,1
"176","Lathyrus nevadensis","Lathyrus","Lathyrus","Lathyrus nevadensis",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",1,0,1
"177","Lathyrus palustris","Lathyrus","Lathyrus","Lathyrus palustris",NA,NA,"Y","Y","Y","marsh vetchling; seeds","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",1,0,1
"178","Phleum alpinum","Timothy","Phleum","Phleum alpinum",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",28,0,28
"179","Poa arctica","Bluegrass","Poa","Poa arctica",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",113,0,113
"180","Poa arida","Bluegrass","Poa","Poa arida",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",1,0,1
"181","Poa cusickii","Bluegrass","Poa","Poa cusickii",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",2,0,2
"182","Poa eminens","Bluegrass","Poa","Poa eminens",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",6,0,6
"183","Poa glauca","Bluegrass","Poa","Poa glauca",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",106,0,106
"184","Poa humilis","Bluegrass","Poa","Poa humilis",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",7,0,7
"185","Poa macrantha","Bluegrass","Poa","Poa macrantha",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",2,0,2
"186","Poa nemoralis","Bluegrass","Poa","Poa nemoralis",NA,NA,"Y","Y","N","","N","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",59,0,59
"187","Poa palustris","Bluegrass","Poa","Poa palustris",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",28,0,28
"188","Poa stenantha","Bluegrass","Poa","Poa stenantha",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",1,0,1
"189","Salix exigua","Willow","Salix","Salix exigua",NA,NA,"Y","Y","Y","leaves","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",7,0,7
"190","Sorbus scopulina","Rowan","Sorbus","Sorbus scopulina",NA,NA,"Y","Y","Y","fruit","Y","Forest Resources","Food",NA,"Forest Resources","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",13,0,13
"191","Tradescantia occidentalis","Spiderwort","Tradescantia","Tradescantia occidentalis",NA,NA,"N","Y","N","","N","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","","","","","","","","","","","CANADENSYS 2022","","",2,0,2
"192","Tradescantia ohiensis","Spiderwort","Tradescantia","Tradescantia ohiensis",NA,NA,"Y","Y","N","","N","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","","","","","","","","","","","CANADENSYS 2021","","",9,0,9
"193","Trifolium cyathiferum","Clover","Trifolium","Trifolium cyathiferum",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",11,0,11
"194","Trifolium depauperatum","Clover","Trifolium","Trifolium depauperatum",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",7,0,7
"195","Trifolium dichotomum","Clover","Trifolium","Trifolium dichotomum",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",4,0,4
"196","Trifolium microcephalum","Clover","Trifolium","Trifolium microcephalum",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",23,0,23
"197","Trifolium microdon","Clover","Trifolium","Trifolium microdon",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",6,0,6
"198","Trifolium oliganthum","Clover","Trifolium","Trifolium oliganthum",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",1,0,1
"199","Trifolium willdenovii","Clover","Trifolium","Trifolium willdenovii",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",18,0,18
"200","Viburnum cassinoides","Highbush cranberry","Viburnum","Viburnum cassinoides",NA,NA,"Y","Y","Y","fruit","Y","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",9,0,9
"201","Rhus aromatica","Sumac","Rhus","Rhus aromatica",NA,NA,"N","Y","N","","Y","Ornamentals","Forest Resources",NA,"Ornamentals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","CANADENSYS 2021","","",119,82,37
"202","Ilex mucronata","Winterberry","Ilex","Ilex mucronata",NA,NA,"Y","Y","N","","Y","Ornamentals","Forest Resources",NA,"Ornamentals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","CANADENSYS 2021","","",7,2,5
"203","Acmispon americanus","Trefoil","Acmispon","Acmispon americanus",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"204","Acmispon parviflorus","Trefoil","Acmispon","Acmispon parviflorus",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"205","Agrostis hyemalis","Bentgrass","Agrostis","Agrostis hyemalis",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"206","Astragalus agrestis","Milk-vetch","Astragalus","Astragalus agrestis",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"207","Astragalus beckwithii","Milk-vetch","Astragalus","Astragalus beckwithii",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"208","Astragalus bodinii","Milk-vetch","Astragalus","Astragalus bodinii",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"209","Astragalus bourgovii","Milk-vetch","Astragalus","Astragalus bourgovii",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"210","Astragalus collinus","Milk-vetch","Astragalus","Astragalus collinus",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"211","Astragalus eucosmus","Milk-vetch","Astragalus","Astragalus eucosmus",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"212","Astragalus gilviflorus","Milk-vetch","Astragalus","Astragalus gilviflorus",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"213","Astragalus kentrophyta","Milk-vetch","Astragalus","Astragalus kentrophyta",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"214","Astragalus lentiginosus","Milk-vetch","Astragalus","Astragalus lentiginosus",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"215","Astragalus lotiflorus","Milk-vetch","Astragalus","Astragalus lotiflorus",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"216","Astragalus microcystis","Milk-vetch","Astragalus","Astragalus microcystis",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"217","Astragalus missouriensis","Milk-vetch","Astragalus","Astragalus missouriensis",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"218","Astragalus neglectus","Milk-vetch","Astragalus","Astragalus neglectus",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"219","Astragalus pectinatus","Milk-vetch","Astragalus","Astragalus pectinatus",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"220","Astragalus sclerocarpus","Milk-vetch","Astragalus","Astragalus sclerocarpus",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"221","Astragalus tenellus","Milk-vetch","Astragalus","Astragalus tenellus",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"222","Astragalus umbellatus","Milk-vetch","Astragalus","Astragalus umbellatus",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"223","Astragalus vexilliflexus","Milk-vetch","Astragalus","Astragalus vexilliflexus",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"224","Astragalus williamsii","Milk-vetch","Astragalus","Astragalus williamsii",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"225","Calamagrostis purpurea","Bluejoint","Calamagrostis","Calamagrostis purpurea",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","GRIN-Global 2021","","",0,0,0
"226","Cupressis nootkatensis","Cypress","Cupressis","Cupressis nootkatensis",NA,NA,"Y","Y","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"227","Festuca subulata","Fescue","Festuca","Festuca subulata",NA,NA,"Y","Y","N","","Y","Food","Ornamentals",NA,"Forage and Feed","Ornamentals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"228","Festuca viridula","Fescue","Festuca","Festuca viridula",NA,NA,"Y","Y","N","","Y","Food","Ornamentals",NA,"Forage and Feed","Ornamentals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"229","Hedysarum americanum","Sainfoin","Hedysarum","Hedysarum americanum",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"230","Hosackia pinnata","Trefoil","Hosackia","Hosackia pinnata",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"231","Lathyrus lanszwertii","Lathyrus","Lathyrus","Lathyrus lanszwertii",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"232","Poa abbreviata","Bluegrass","Poa","Poa abbreviata",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"233","Poa alsodes","Bluegrass","Poa","Poa alsodes",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"234","Poa confinis","Bluegrass","Poa","Poa confinis",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"235","Poa gaspensis","Bluegrass","Poa","Poa gaspensis",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"236","Poa hartzii","Bluegrass","Poa","Poa hartzii",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"237","Poa howellii","Bluegrass","Poa","Poa howellii",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"238","Poa juncifolia","Bluegrass","Poa","Poa juncifolia",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"239","Poa leptocoma","Bluegrass","Poa","Poa leptocoma",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"240","Poa lettermanii","Bluegrass","Poa","Poa lettermanii",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"241","Poa marcida","Bluegrass","Poa","Poa marcida",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"242","Poa saltuensis","Bluegrass","Poa","Poa saltuensis",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"243","Populus angustifolia","Poplar","Populus","Populus angustifolia",NA,NA,"Y","Y","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",0,0,0
"244","Rorippa aquatica","Horseradish","Rorippa","Rorippa aquatica",NA,NA,"Y","N","Y","horseradish; condiment","Y","","Food",NA,"Herbs and Spices","","",NA,2,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",0,0,0
"245","Salix pulchra","Willow","Salix","Salix pulchra",NA,NA,"Y","Y","Y","buds, leaves, shoots","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",0,0,0
"246","Salix reticulata","Willow","Salix","Salix reticulata",NA,NA,"Y","Y","Y","greens","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",0,0,0
"247","Salix richardsonii","Willow","Salix","Salix richardsonii",NA,NA,"Y","Y","Y","buds, leaves","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",0,0,0
"248","Vicia caroliniana","Vetch","Vicia","Vicia caroliniana",NA,NA,"Y","Y","Y","seeds","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","CANADENSYS","","",0,0,0
"249","Vicia nigricans","Vetch","Vicia","Vicia nigricans",NA,NA,"N","Y","Y","seeds","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",0,0,0
