"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","Cultivar","Accession..","Genus","Common.Name","Cultivar.1","Year","Source","Origin","Notes","X","Y","Z"
"1","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","5","","Amelanchier","Saskatoon Berry",NA,NA,"5","","",NA,NA,NA
"2","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","98","","Amelanchier","Saskatoon Berry",NA,NA,"98","","",NA,NA,NA
"3","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Al Wes","","Amelanchier","Saskatoon Berry",NA,NA,"Al Wes","","",NA,NA,NA
"4","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Bargholz","","Amelanchier","Saskatoon Berry",NA,NA,"Bargholz","","",NA,NA,NA
"5","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Beaubier","","Amelanchier","Saskatoon Berry",NA,NA,"Beaubier","","",NA,NA,NA
"6","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Bluff","","Amelanchier","Saskatoon Berry",NA,NA,"","","",NA,NA,NA
"7","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Al Wes Shell Lake","","Amelanchier","Saskatoon Berry",NA,NA,"Al Wes Shell Lake","","",NA,NA,NA
"8","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","1177","","Amelanchier","Saskatoon Berry",NA,NA,"1177","","",NA,NA,NA
"9","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Gallaher NW","","Amelanchier","Saskatoon Berry",NA,NA,"Gallaher NW","","",NA,NA,NA
"10","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Gallaher RF","","Amelanchier","Saskatoon Berry",NA,NA,"Gallaher RF","","",NA,NA,NA
"11","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Hawes '97","","Amelanchier","Saskatoon Berry",NA,NA,"Hawes '97","","",NA,NA,NA
"12","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Hawes '98","","Amelanchier","Saskatoon Berry",NA,NA,"Hawes '98","","",NA,NA,NA
"13","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Hawton","","Amelanchier","Saskatoon Berry",NA,NA,"Hawton","","",NA,NA,NA
"14","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Holodniuk","","Amelanchier","Saskatoon Berry",NA,NA,"Holodniuk","","",NA,NA,NA
"15","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Honeywood","","Amelanchier","Saskatoon Berry",NA,NA,"","Parkside Sk.","",NA,NA,NA
"16","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Buffalo","","Amelanchier","Saskatoon Berry",NA,NA,"","","",NA,NA,NA
"17","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Campbell","","Amelanchier","Saskatoon Berry",NA,NA,"Campbell","","",NA,NA,NA
"18","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Dyck","","Amelanchier","Saskatoon Berry",NA,NA,"Dyck","","",NA,NA,NA
"19","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Eberts","","Amelanchier","Saskatoon Berry",NA,NA,"Eberts","","",NA,NA,NA
"20","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Engele","","Amelanchier","Saskatoon Berry",NA,NA,"Engele","","",NA,NA,NA
"21","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Forestburg","","Amelanchier","Saskatoon Berry",NA,NA,"","","",NA,NA,NA
"22","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Nelson","","Amelanchier","Saskatoon Berry",NA,NA,"","","Some of these are located on the Craig and Yvette Hamilton farm west of Raddisson, SK.",NA,NA,NA
"23","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Northline","sx90-04","Amelanchier","Saskatoon Berry",NA,1990,"Tom Ward","","Received 2 plants(looks like tissue culture propogation). 10 Aug 90/Recieved from Beaverlodge. 30 Oct. 67",NA,NA,NA
"24","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Par 90","","Amelanchier","Saskatoon Berry",NA,NA,"","","",NA,NA,NA
"25","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Par 90 TRS","sx87-04","Amelanchier","Saskatoon Berry",NA,1987,"Brent Zettl, Rodney Parenteau","Langham, Sk.","Non-suckering selection from the original Thiesson farm site.  20 July 87",NA,NA,NA
"26","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Parkhill","","Amelanchier","Saskatoon Berry",NA,NA,"","","",NA,NA,NA
"27","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Pasture","","Amelanchier","Saskatoon Berry",NA,NA,"","","",NA,NA,NA
"28","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","PearsonII","","Amelanchier","Saskatoon Berry",NA,NA,"","","",NA,NA,NA
"29","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Innes/Alvina","","Amelanchier","Saskatoon Berry",NA,NA,"Innes, Alvina, SK","","",NA,NA,NA
"30","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Innes/Borden","","Amelanchier","Saskatoon Berry",NA,NA,"Innes, Borden, SK","","",NA,NA,NA
"31","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Kalenchuk","","Amelanchier","Saskatoon Berry",NA,NA,"Kalenchuk","","",NA,NA,NA
"32","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Martin","sx87-03","Amelanchier","Saskatoon Berry",NA,1987,"Dieter Martin","Martin is a Thiessen seedling","Seedling from the Thiessen gene pool. 20 July 87",NA,NA,NA
"33","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Meadow Lake","","Amelanchier","Saskatoon Berry",NA,NA,"Meadow Lake","","",NA,NA,NA
"34","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Muir","","Amelanchier","Saskatoon Berry",NA,NA,"Muir","","",NA,NA,NA
"35","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Senga","","Amelanchier","Saskatoon Berry",NA,NA,"","","",NA,NA,NA
"36","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Smokey","","Amelanchier","Saskatoon Berry",NA,NA,"","","",NA,NA,NA
"37","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Smokey x Regent","","Amelanchier","Saskatoon Berry",NA,NA,"","","",NA,NA,NA
"38","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Soron","","Amelanchier","Saskatoon Berry",NA,NA,"Soron","","",NA,NA,NA
"39","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Success","","Amelanchier","Saskatoon Berry",NA,NA,"","","",NA,NA,NA
"40","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Thiessen","","Amelanchier","Saskatoon Berry",NA,NA,"","","",NA,NA,NA
"41","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Wicks","","Amelanchier","Saskatoon Berry",NA,NA,"Wicks","","",NA,NA,NA
"42","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Pembina","sx67-52","Amelanchier","Saskatoon Berry",NA,1967,"Beaverlodge Nursery","","Pembina on Showy Mtn. Ash Root. 30 Oct. 67",NA,NA,NA
"43","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Quaker","","Amelanchier","Saskatoon Berry",NA,NA,"","","",NA,NA,NA
"44","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Regent","","Amelanchier","Saskatoon Berry",NA,NA,"","","",NA,NA,NA
"45","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Reid#1","","Amelanchier","Saskatoon Berry",NA,NA,"","","",NA,NA,NA
"46","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Reid#2","","Amelanchier","Saskatoon Berry",NA,NA,"","","",NA,NA,NA
"47","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Reid#3","","Amelanchier","Saskatoon Berry",NA,NA,"","","",NA,NA,NA
