"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","ACCESSION","NAME","TAXONOMY","ORIGIN","REPOSITORY","RECEIVED","COORDINATES","Genus","Species_only","Variant","Subspecies","Rank","Infraspecific","Species"
"46","Fraxinus americana","Fraxinus","Fraxinus americana",NA,NA,"Ash",NA,"Y","N","Y","ash; leaves and seeds","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Ames 29642","JDC/FA/2008/076/146","Fraxinus americana L.","Illinois, United States","NC7",2008,"40.45583333, -89.96111111","Fraxinus","americana","","","","","Fraxinus americana"
"47","Fraxinus americana","Fraxinus","Fraxinus americana",NA,NA,"Ash",NA,"Y","N","Y","ash; leaves and seeds","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Ames 31077","702","Fraxinus americana L.","New York, United States","NC7",2011,"42.04000000, -79.45900000","Fraxinus","americana","","","","","Fraxinus americana"
"48","Fraxinus nigra","Fraxinus","Fraxinus nigra",NA,NA,"Ash",NA,"Y","N","Y","ash; leaves and seeds","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Ames 29615","JDC/FN/2008/018/088","Fraxinus nigra Marshall","Iowa, United States","NC7",2008,"42.39750000, -94.07583333","Fraxinus","nigra","","","","","Fraxinus nigra"
"49","Fraxinus pennsylvanica","Fraxinus","Fraxinus pennsylvanica",NA,NA,"Ash",NA,"Y","N","Y","ash; inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Ames 29645","JDC/FP/2008/074/144","Fraxinus pennsylvanica Marshall","Illinois, United States","NC7",2008,"40.12583333, -89.38888889","Fraxinus","pennsylvanica","","","","","Fraxinus pennsylvanica"
"50","Fraxinus pennsylvanica","Fraxinus","Fraxinus pennsylvanica",NA,NA,"Ash",NA,"Y","N","Y","ash; inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Ames 31677","GA12001001","Fraxinus pennsylvanica Marshall","Minnesota, United States","NC7",2012,"46.73903330, -95.97883330","Fraxinus","pennsylvanica","","","","","Fraxinus pennsylvanica"
"51","Hedysarum boreale subsp. boreale","Hedysarum","Hedysarum boreale","subsp.","boreale","Sainfoin",NA,"Y","Y","Y","northern hedysarum","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","W6 39081","UT931-129","Hedysarum boreale Nutt. subsp. boreale","Utah, United States","W6",2010,"40.20230000, -112.34358000","Hedysarum","boreale","","boreale","subsp.","boreale","Hedysarum boreale"
"52","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 435592","ANN-782","Helianthus annuus L.","California, United States","NC7",1978,"34.39916667, -118.91722222","Helianthus","annuus","","","","","Helianthus annuus"
"53","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 586825","ANN 2131","Helianthus annuus L.","Wyoming, United States","NC7",1991,"44.66666667, -105.75000000","Helianthus","annuus","","","","","Helianthus annuus"
"54","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 435575","ANN-756","Helianthus annuus L.","Utah, United States","NC7",1978,"39.51916667, -112.37500000","Helianthus","annuus","","","","","Helianthus annuus"
"55","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 435492","ANN-545","Helianthus annuus L.","New Mexico, United States","NC7",1978,"35.00666667, -105.92055556","Helianthus","annuus","","","","","Helianthus annuus"
"56","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 413138","A-1587","Helianthus annuus L.","California, United States","NC7",1974,"38.67861110, -121.77222222","Helianthus","annuus","","","","","Helianthus annuus"
"57","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 695698","DB_1854","Helianthus annuus L.","Colorado, United States","NC7",2015,"40.48679000, -105.09619000","Helianthus","annuus","","","","","Helianthus annuus"
"58","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 468499","ANN-1291","Helianthus annuus L.","Texas, United States","NC7",1981,"29.64833333, -95.03222222","Helianthus","annuus","","","","","Helianthus annuus"
"59","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 413158","A-1607","Helianthus annuus L.","New Mexico, United States","NC7",1974,"32.18722222, -108.33333333","Helianthus","annuus","","","","","Helianthus annuus"
"60","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 695715","DB_1871","Helianthus annuus L.","Oklahoma, United States","NC7",2015,"36.80874000, -98.22242000","Helianthus","annuus","","","","","Helianthus annuus"
"61","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 468516","ANN-1320","Helianthus annuus L.","Texas, United States","NC7",1981,"27.88333333, -97.16361111","Helianthus","annuus","","","","","Helianthus annuus"
"62","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 468599","ANN-1464","Helianthus annuus L.","Nevada, United States","NC7",1981,"38.95083333, -118.81027778","Helianthus","annuus","","","","","Helianthus annuus"
"63","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 413075","A-1524","Helianthus annuus L.","California, United States","NC7",1974,"37.79750000, -120.99555556","Helianthus","annuus","","","","","Helianthus annuus"
"64","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 435841","PET-800","Helianthus annuus L.","Arizona, United States","NC7",1978,"35.81250000, -110.19444444","Helianthus","annuus","","","","","Helianthus annuus"
"65","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 531035","2006","Helianthus annuus L.","Montana, United States","NC7",1987,"46.60000000, -108.53333333","Helianthus","annuus","","","","","Helianthus annuus"
"66","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 435406","ANN-335","Helianthus annuus L.","Oklahoma, United States","NC7",1978,"36.86666667, -100.86666667","Helianthus","annuus","","","","","Helianthus annuus"
"67","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 435426","ANN-401","Helianthus annuus L.","Texas, United States","NC7",1978,"28.29750000, -96.93861111","Helianthus","annuus","","","","","Helianthus annuus"
"68","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Ames 32514","HEAN3-SOS-PSSL-280-10","Helianthus annuus L.","Utah, United States","NC7",2011,"","Helianthus","annuus","","","","","Helianthus annuus"
"69","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 649793","Ames 4113","Helianthus annuus L.","United States","NC7",1985,"","Helianthus","annuus","","","","","Helianthus annuus"
"70","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 413055","A-1504","Helianthus annuus L.","California, United States","NC7",1974,"35.00222222, -117.64750000","Helianthus","annuus","","","","","Helianthus annuus"
"71","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 613752","ANN-648","Helianthus annuus L.","Tennessee, United States","NC7",1986,"35.96055556, -83.92083333","Helianthus","annuus","","","","","Helianthus annuus"
"72","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 468582","ANN-1439","Helianthus annuus L.","California, United States","NC7",1981,"33.78250000, -117.22777778","Helianthus","annuus","","","","","Helianthus annuus"
"73","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 435409","ANN-340","Helianthus annuus L.","Texas, United States","NC7",1978,"34.25638889, -99.51638889","Helianthus","annuus","","","","","Helianthus annuus"
"74","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 413072","A-1521","Helianthus annuus L.","California, United States","NC7",1974,"38.55833333, -121.67444444","Helianthus","annuus","","","","","Helianthus annuus"
"75","Helianthus annuus","Helianthus","Helianthus annuus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 613736","ANN-1016","Helianthus annuus L.","California, United States","NC7",1986,"35.37333333, -119.01777778","Helianthus","annuus","","","","","Helianthus annuus"
"76","Helianthus decapetalus","Helianthus","Helianthus decapetalus",NA,NA,"Sunflower",NA,"Y","Y","N","","Y","Food","",NA,"Oils","","",NA,"1C",1,"Tertiary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","","","","","GRIN-Global 2021","GRIN-Global 2021","","PI 649969","Ames 7721","Helianthus decapetalus L.","Pennsylvania, United States","NC7",1987,"41.48333333, -76.60000000","Helianthus","decapetalus","","","","","Helianthus decapetalus"
"77","Helianthus divaricatus","Helianthus","Helianthus divaricatus",NA,NA,"Sunflower","Jerusalem-Artichoke","Y","Y","N","","Y","Food","","Food","Oils","","","Vegetables","1C",1,"Tertiary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Growth Habit (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","","PI 435675","DIV-830","Helianthus divaricatus L.","Oklahoma, United States","NC7",1978,"34.96666667, -94.71666667","Helianthus","divaricatus","","","","","Helianthus divaricatus"
"78","Helianthus giganteus","Helianthus","Helianthus giganteus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","Y","Food","",NA,"Oils","","",NA,"1C",1,"Tertiary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","Growth Habit (AG)","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 547179","GIG-2017","Helianthus giganteus L.","Wisconsin, United States","NC7",1989,"44.06666667, -88.98333333","Helianthus","giganteus","","","","","Helianthus giganteus"
"79","Helianthus giganteus","Helianthus","Helianthus giganteus",NA,NA,"Sunflower",NA,"Y","Y","Y","sunflower; seeds","Y","Food","",NA,"Oils","","",NA,"1C",1,"Tertiary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","Growth Habit (AG)","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 547182","GIG-2021","Helianthus giganteus L.","Wisconsin, United States","NC7",1989,"43.73333333, -88.81666667","Helianthus","giganteus","","","","","Helianthus giganteus"
"80","Helianthus pauciflorus subsp. subrhomboideus","Helianthus","Helianthus pauciflorus","subsp.","subrhomboideus","Sunflower",NA,"Y","Y","N","","Y","Food","",NA,"Oils","","",NA,"1C",1,"Tertiary","","","","","","Cytoplasmic Male Sterility (F)","","","","","GRIN-Global 2021","GRIN-Global 2021","","PI 586909","PAU 2099","Helianthus pauciflorus Nutt. subsp. subrhomboideus (Rydb.) O. Spring & E. E. Schill.","North Dakota, United States","NC7",1991,"47.43333333, -98.11666667","Helianthus","pauciflorus","","subrhomboideus","subsp.","subrhomboideus","Helianthus pauciflorus"
"81","Helianthus petiolaris","Helianthus","Helianthus petiolaris",NA,NA,"Sunflower",NA,"N","Y","N","","Y","Food","",NA,"Oils","","",NA,"1B",1,"Secondary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","","PI 413175","13","Helianthus petiolaris Nutt.","Nebraska, United States","NC7",1974,"","Helianthus","petiolaris","","","","","Helianthus petiolaris"
"82","Helianthus petiolaris subsp. petiolaris","Helianthus","Helianthus petiolaris","subsp.","petiolaris","Sunflower",NA,"Y","Y","N","","Y","Food","",NA,"Oils","","",NA,"1B",1,"Secondary","","","","Disease Resistance (B)","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","PI 531055","1982","Helianthus petiolaris Nutt. subsp. petiolaris","Montana, United States","NC7",1987,"47.46666667, -114.85000000","Helianthus","petiolaris","","petiolaris","subsp.","petiolaris","Helianthus petiolaris"
"83","Helianthus petiolaris subsp. petiolaris","Helianthus","Helianthus petiolaris","subsp.","petiolaris","Sunflower",NA,"Y","Y","N","","Y","Food","",NA,"Oils","","",NA,"1B",1,"Secondary","","","","Disease Resistance (B)","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","PI 695712","DB_1868","Helianthus petiolaris Nutt. subsp. petiolaris","Oklahoma, United States","NC7",2015,"36.56341000, -98.88941000","Helianthus","petiolaris","","petiolaris","subsp.","petiolaris","Helianthus petiolaris"
"84","Helianthus petiolaris subsp. petiolaris","Helianthus","Helianthus petiolaris","subsp.","petiolaris","Sunflower",NA,"Y","Y","N","","Y","Food","",NA,"Oils","","",NA,"1B",1,"Secondary","","","","Disease Resistance (B)","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","PI 435827","PET-555","Helianthus petiolaris Nutt. subsp. petiolaris","Texas, United States","NC7",1978,"34.25500000, -99.52000000","Helianthus","petiolaris","","petiolaris","subsp.","petiolaris","Helianthus petiolaris"
"85","Helianthus tuberosus","Helianthus","Helianthus tuberosus",NA,NA,"Jerusalem-Artichoke","Sunflower","Y","Y","Y","jerusalem artichoke; tubers","Y","Food","","Food","Vegetables","","","Oils","1C",1,"Tertiary","","Drought Resistance (AB)","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","Growth Habit (AG)","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 650096","TVB-50","Helianthus tuberosus L.","South Dakota, United States","NC7",1983,"42.91666667, -96.95000000","Helianthus","tuberosus","","","","","Helianthus tuberosus"
"86","Holodiscus discolor","Holodiscus","Holodiscus discolor",NA,NA,"Oceanspray",NA,"N","N","Y","","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Ames 31349","HODI-SOS-CA110-295-10","Holodiscus discolor (Pursh) Maxim.","Oregon, United States","NC7",2011,"42.26841667, -122.49052780","Holodiscus","discolor","","","","","Holodiscus discolor"
"87","Hordeum pusillum","Hordeum","Hordeum pusillum",NA,NA,"Barley",NA,"Y","Y","N","","N","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","CIho 15663","W 511","Hordeum pusillum Nutt.","Kentucky, United States","NSGC",1975,"38.03333333, -84.46666667","Hordeum","pusillum","","","","","Hordeum pusillum"
"88","Leymus cinereus","Leymus","Leymus cinereus",NA,NA,"Wheat",NA,"Y","Y","Y","wild rye grass; grains","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 537335","A-32","Leymus cinereus (Scribn. & Merr.) √Å. L√∂ve","Utah, United States","W6",1989,"","Leymus","cinereus","","","","","Leymus cinereus"
