"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","ACCESSION","NAME","TAXONOMY","ORIGIN","REPOSITORY","RECEIVED","COORDINATES","Genus","Species_only","Variant","Subspecies","Rank","Infraspecific","Species"
"89","Leymus cinereus","Leymus","Leymus cinereus",NA,NA,"Wheat",NA,"Y","Y","Y","wild rye grass; grains","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 537355","T-44","Leymus cinereus (Scribn. & Merr.) √Å. L√∂ve","Nevada, United States","W6",1989,"","Leymus","cinereus","","","","","Leymus cinereus"
"90","Leymus cinereus","Leymus","Leymus cinereus",NA,NA,"Wheat",NA,"Y","Y","Y","wild rye grass; grains","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 564562","Acc:681","Leymus cinereus (Scribn. & Merr.) √Å. L√∂ve","Nevada, United States","W6",1992,"","Leymus","cinereus","","","","","Leymus cinereus"
"91","Leymus cinereus","Leymus","Leymus cinereus",NA,NA,"Wheat",NA,"Y","Y","Y","wild rye grass; grains","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 639842","T-1089","Leymus cinereus (Scribn. & Merr.) √Å. L√∂ve","Washington, United States","W6",2000,"47.47527778, -120.36500000","Leymus","cinereus","","","","","Leymus cinereus"
"92","Leymus cinereus","Leymus","Leymus cinereus",NA,NA,"Wheat",NA,"Y","Y","Y","wild rye grass; grains","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 619508","T-998","Leymus cinereus (Scribn. & Merr.) √Å. L√∂ve","Washington, United States","W6",1998,"46.48333333, -119.01666667","Leymus","cinereus","","","","","Leymus cinereus"
"93","Leymus cinereus","Leymus","Leymus cinereus",NA,NA,"Wheat",NA,"Y","Y","Y","wild rye grass; grains","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 537338","A-47","Leymus cinereus (Scribn. & Merr.) √Å. L√∂ve","Wyoming, United States","W6",1989,"","Leymus","cinereus","","","","","Leymus cinereus"
"94","Leymus cinereus","Leymus","Leymus cinereus",NA,NA,"Wheat",NA,"Y","Y","Y","wild rye grass; grains","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","W6 47707","CA370-166","Leymus cinereus (Scribn. & Merr.) √Å. L√∂ve","Nevada, United States","W6",2014,"41.36678000, -119.89910000","Leymus","cinereus","","","","","Leymus cinereus"
"95","Leymus cinereus","Leymus","Leymus cinereus",NA,NA,"Wheat",NA,"Y","Y","Y","wild rye grass; grains","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","W6 49256","CA350-36","Leymus cinereus (Scribn. & Merr.) √Å. L√∂ve","United States","W6",2015,"40.59068000, -119.92237000","Leymus","cinereus","","","","","Leymus cinereus"
"96","Leymus cinereus","Leymus","Leymus cinereus",NA,NA,"Wheat",NA,"Y","Y","Y","wild rye grass; grains","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 232254","","Leymus cinereus (Scribn. & Merr.) √Å. L√∂ve","Washington, United States","W6",1955,"","Leymus","cinereus","","","","","Leymus cinereus"
"97","Leymus cinereus","Leymus","Leymus cinereus",NA,NA,"Wheat",NA,"Y","Y","Y","wild rye grass; grains","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","W6 40214","CA370-114","Leymus cinereus (Scribn. & Merr.) √Å. L√∂ve","Nevada, United States","W6",2011,"41.34883667, -119.36050610","Leymus","cinereus","","","","","Leymus cinereus"
"98","Linum lewisii","Linum","Linum lewisii",NA,NA,"Flax",NA,"N","Y","N","","Y","Materials","",NA,"Materials","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Ames 27614","'Maple Grove'","Linum lewisii Pursh","Utah, United States","NC7",2004,"","Linum","lewisii","","","","","Linum lewisii"
"99","Linum lewisii","Linum","Linum lewisii",NA,NA,"Flax",NA,"N","Y","N","","Y","Materials","",NA,"Materials","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Ames 31372","LILE3-SOS-Y090-18-10","Linum lewisii Pursh","United States","NC7",2011,"","Linum","lewisii","","","","","Linum lewisii"
"100","Lomatium macrocarpum","Lomatium","Lomatium macrocarpum",NA,NA,"Biscuitroot",NA,"Y","N","Y","roots","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","W6 40506","OR014-43","Lomatium macrocarpum (Nutt. ex Torr. & A. Gray) J. M. Coult. & Rose","Oregon, United States","W6",2011,"42.10580556, -121.35158330","Lomatium","macrocarpum","","","","","Lomatium macrocarpum"
"101","Lomatium nudicaule","Lomatium","Lomatium nudicaule",NA,NA,"Biscuitroot",NA,"Y","N","Y","roots","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","W6 43835","RMRS-1341","Lomatium nudicaule (Pursh) J. M. Coult. & Rose","Idaho, United States","W6",2012,"43.54626000, -115.80215000","Lomatium","nudicaule","","","","","Lomatium nudicaule"
"102","Lomatium triternatum","Lomatium","Lomatium triternatum",NA,NA,"Biscuitroot",NA,"Y","N","Y","roots","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","W6 40806","OR020-124","Lomatium triternatum (Pursh) J. M. Coult. & Rose","Oregon, United States","W6",2011,"42.70000000, -118.93333330","Lomatium","triternatum","","","","","Lomatium triternatum"
"103","Magnolia acuminata","Magnolia","Magnolia acuminata",NA,NA,"Magnolia",NA,"Y","N","N","","Y","Cultural","",NA,"Ornamentals","","",NA,NA,NA,NA,"Graftstock","","","","","","Ornamental Features (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","","Ames 34947","JDC/MA/2019/030/909","Magnolia acuminata (L.) L.","West Virginia, United States","NC7",2019,"38.95962000, -79.23319600","Magnolia","acuminata","","","","","Magnolia acuminata"
"104","Monarda fistulosa","Monarda","Monarda fistulosa",NA,NA,"Monarda",NA,"N","N","Y","leaves, tea","Y","Cultural","",NA,"Medicinals","Ornamentals","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","PI 561066","8","Monarda fistulosa L.","Kansas, United States","NC7",1985,"38.87968700, -94.89339000","Monarda","fistulosa","","","","","Monarda fistulosa"
"105","Panicum virgatum","Panicum","Panicum virgatum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","Restoration","",NA,"2",2,NA,"","","","","","","","","","","GRIN-Global 2021","","","PI 659344","9086101","Panicum virgatum L.","New York, United States","S9",2009,"40.62472222, -74.17888889","Panicum","virgatum","","","","","Panicum virgatum"
"106","Panicum virgatum","Panicum","Panicum virgatum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","Restoration","",NA,"2",2,NA,"","","","","","","","","","","GRIN-Global 2021","","","PI 642395","9084512","Panicum virgatum L.","Michigan, United States","S9",2004,"42.65143200, -84.61173500","Panicum","virgatum","","","","","Panicum virgatum"
"107","Panicum virgatum","Panicum","Panicum virgatum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","Restoration","",NA,"2",2,NA,"","","","","","","","","","","GRIN-Global 2021","","","Grif 16845","9086053","Panicum virgatum L.","Massachusetts, United States","S9",2009,"42.67666667, -70.75944444","Panicum","virgatum","","","","","Panicum virgatum"
"108","Panicum virgatum","Panicum","Panicum virgatum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","Restoration","",NA,"2",2,NA,"","","","","","","","","","","GRIN-Global 2021","","","PI 666211","2009FL-007","Panicum virgatum L.","Florida, United States","S9",2009,"29.09500000, -80.97083333","Panicum","virgatum","","","","","Panicum virgatum"
"109","Panicum virgatum","Panicum","Panicum virgatum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","Restoration","",NA,"2",2,NA,"","","","","","","","","","","GRIN-Global 2021","","","PI 674683","9106193","Panicum virgatum L.","New York, United States","S9",2009,"42.36638889, -77.69055556","Panicum","virgatum","","","","","Panicum virgatum"
"110","Panicum virgatum","Panicum","Panicum virgatum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","Restoration","",NA,"2",2,NA,"","","","","","","","","","","GRIN-Global 2021","","","PI 674681","9106189","Panicum virgatum L.","New York, United States","S9",2009,"42.37750000, 77.37555556","Panicum","virgatum","","","","","Panicum virgatum"
"111","Panicum virgatum","Panicum","Panicum virgatum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","Restoration","",NA,"2",2,NA,"","","","","","","","","","","GRIN-Global 2021","","","PI 674670","9086098","Panicum virgatum L.","New Jersey, United States","S9",2009,"40.80073500, -74.07460900","Panicum","virgatum","","","","","Panicum virgatum"
"112","Panicum virgatum","Panicum","Panicum virgatum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","Restoration","",NA,"2",2,NA,"","","","","","","","","","","GRIN-Global 2021","","","PI 666217","2009FL-027","Panicum virgatum L.","Florida, United States","S9",2009,"30.05361111, -84.38833333","Panicum","virgatum","","","","","Panicum virgatum"
"113","Poa pratensis","Poa","Poa pratensis",NA,NA,"Bluegrass",NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","","PI 371762","PN-617","Poa pratensis L.","Alaska, United States","W6",1972,"","Poa","pratensis","","","","","Poa pratensis"
"114","Poa pratensis","Poa","Poa pratensis",NA,NA,"Bluegrass",NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","","PI 349178","61-90","Poa pratensis L.","Alaska, United States","W6",1969,"","Poa","pratensis","","","","","Poa pratensis"
"115","Poa pratensis","Poa","Poa pratensis",NA,NA,"Bluegrass",NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","","PI 349215","1998","Poa pratensis L.","Alaska, United States","W6",1969,"","Poa","pratensis","","","","","Poa pratensis"
"116","Poa pratensis","Poa","Poa pratensis",NA,NA,"Bluegrass",NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","","PI 372737","S-102","Poa pratensis L.","Alaska, United States","W6",1972,"","Poa","pratensis","","","","","Poa pratensis"
"117","Poa secunda","Poa","Poa secunda",NA,NA,"Bluegrass",NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","","PI 687754","3313","Poa secunda J. Presl","California, United States","W6",2018,"40.76710000, -120.73220000","Poa","secunda","","","","","Poa secunda"
"118","Poa secunda","Poa","Poa secunda",NA,NA,"Bluegrass",NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","","PI 687770","5734","Poa secunda J. Presl","Nevada, United States","W6",2018,"41.15474000, -114.96503000","Poa","secunda","","","","","Poa secunda"
"119","Poa secunda","Poa","Poa secunda",NA,NA,"Bluegrass",NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","","W6 56019","OR010-377","Poa secunda J. Presl","Oregon, United States","W6",2019,"42.67427000, -120.08911000","Poa","secunda","","","","","Poa secunda"
"120","Poa secunda","Poa","Poa secunda",NA,NA,"Bluegrass",NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","","W6 44449","OR010-134","Poa secunda J. Presl","Oregon, United States","W6",2012,"41.88175000, -113.92168000","Poa","secunda","","","","","Poa secunda"
"121","Prunella vulgaris","Prunella","Prunella vulgaris",NA,NA,"Heal-All",NA,"Y","N","Y","flowers and leaves as tea","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","GRIN-Global 2021","","Kuhnlein and Turner 2020","PI 664881","6","Prunella vulgaris L.","Iowa, United States","NC7",2006,"41.99388889, -93.88444444","Prunella","vulgaris","","","","","Prunella vulgaris"
"122","Prunella vulgaris","Prunella","Prunella vulgaris",NA,NA,"Heal-All",NA,"Y","N","Y","flowers and leaves as tea","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","GRIN-Global 2021","","Kuhnlein and Turner 2020","PI 664896","JDC/PV/2008/022/092","Prunella vulgaris L.","Missouri, United States","NC7",2008,"40.36722222, -92.56111111","Prunella","vulgaris","","","","","Prunella vulgaris"
"123","Prunella vulgaris","Prunella","Prunella vulgaris",NA,NA,"Heal-All",NA,"Y","N","Y","flowers and leaves as tea","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","GRIN-Global 2021","","Kuhnlein and Turner 2020","PI 664886","Lab No. 109402","Prunella vulgaris L.","Oregon, United States","NC7",2007,"44.56520000, -123.33200000","Prunella","vulgaris","","","","","Prunella vulgaris"
"124","Ribes cereum","Ribes","Ribes cereum",NA,NA,"Currant, Gooseberry",NA,"N","Y","Y","fruit","Y","Food","",NA,"Fruits","Ornamentals","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 495907","R. cereum Ames 3175","Ribes cereum Douglas","Colorado, United States","COR",1984,"39.83333333, -105.66666667","Ribes","cereum","","","","","Ribes cereum"
"125","Ribes cereum","Ribes","Ribes cereum",NA,NA,"Currant, Gooseberry",NA,"N","Y","Y","fruit","Y","Food","",NA,"Fruits","Ornamentals","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 555785","R. cereum BL-25-4","Ribes cereum Douglas","Oregon, United States","COR",1985,"43.00000000, -121.50000000","Ribes","cereum","","","","","Ribes cereum"
"126","Ribes hudsonianum var. petiolare","Ribes","Ribes hudsonianum","var.","petiolare","Currant, Gooseberry",NA,"Y","Y","Y","northern black currant; fruit","Y","Food","",NA,"Fruits","Ornamentals","",NA,"1B",1,"Secondary","","","","Disease Resistance (B)","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 660867","R. hudsonianum var. petiolare CoM-2","Ribes hudsonianum Richardson var. petiolare (Douglas) Jancz.","Idaho, United States","COR",2007,"43.46130000, -113.55730000","Ribes","hudsonianum","petiolare","","var.","petiolare","Ribes hudsonianum"
"127","Ribes sanguineum","Ribes","Ribes sanguineum",NA,NA,"Currant, Gooseberry",NA,"N","Y","Y","fruit","Y","Food","",NA,"Fruits","Ornamentals","",NA,"1B",1,"Secondary","","","","","","","Growth Habit (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 691705","R. sanguineum OR110-803","Ribes sanguineum Pursh","Oregon, United States","COR",2015,"","Ribes","sanguineum","","","","","Ribes sanguineum"
"128","Ribes triste","Ribes","Ribes triste",NA,NA,"Currant, Gooseberry",NA,"Y","Y","Y","fruit","Y","Food","",NA,"Fruits","Ornamentals","",NA,"1C",1,"Tertiary","","","","Cold Tolerance (AB)","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 617861","KHCW 96-29-01","Ribes triste Pall.","Alaska, United States","COR",1996,"61.16666667, -150.08333333","Ribes","triste","","","","","Ribes triste"
"129","Rubus allegheniensis","Rubus","Rubus allegheniensis",NA,NA,"Blackberry, Raspberry",NA,"Y","Y","Y","fruit","Y","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","Crop Quality (AG)","Growth Habit (AG)","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 553094","R. allegheniensis NC 86-20-1","Rubus allegheniensis Porter","Georgia, United States","COR",1986,"34.75000000, -83.66667000","Rubus","allegheniensis","","","","","Rubus allegheniensis"
"130","Rubus idaeus subsp. strigosus","Rubus","Rubus idaeus","subsp.","strigosus","Blackberry, Raspberry",NA,"Y","Y","Y","fruit, shoots, leaves for tea","Y","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 554013","R. strigosus Alaska T7507","Rubus idaeus L. subsp. strigosus (Michx.) Focke","Alaska, United States","COR",1982,"36.00000000, -94.08333000","Rubus","idaeus","","strigosus","subsp.","strigosus","Rubus idaeus"
"131","Rubus idaeus subsp. strigosus","Rubus","Rubus idaeus","subsp.","strigosus","Blackberry, Raspberry",NA,"Y","Y","Y","fruit, shoots, leaves for tea","Y","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 688307","R. idaeus subsp. strigosus MD-18-21 Maine","Rubus idaeus L. subsp. strigosus (Michx.) Focke","Maine, United States","COR",2018,"","Rubus","idaeus","","strigosus","subsp.","strigosus","Rubus idaeus"
"132","Rubus leucodermis","Rubus","Rubus leucodermis",NA,NA,"Blackberry, Raspberry",NA,"Y","Y","Y","fruit, shoots","Y","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 553698","R. leucodermis Idaho","Rubus leucodermis Douglas ex Torr. & A. Gray","Idaho, United States","COR",1986,"46.66667000, -114.91667000","Rubus","leucodermis","","","","","Rubus leucodermis"
"133","Rubus leucodermis","Rubus","Rubus leucodermis",NA,NA,"Blackberry, Raspberry",NA,"Y","Y","Y","fruit, shoots","Y","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 553681","R. leucodermis BLJ-14-7","Rubus leucodermis Douglas ex Torr. & A. Gray","Oregon, United States","COR",1985,"42.16667000, -124.00000000","Rubus","leucodermis","","","","","Rubus leucodermis"
"134","Rubus leucodermis","Rubus","Rubus leucodermis",NA,NA,"Blackberry, Raspberry",NA,"Y","Y","Y","fruit, shoots","Y","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 553678","R. leucodermis BLJ-9-1","Rubus leucodermis Douglas ex Torr. & A. Gray","Oregon, United States","COR",1985,"44.00000000, -123.83333000","Rubus","leucodermis","","","","","Rubus leucodermis"
"135","Rubus occidentalis","Rubus","Rubus occidentalis",NA,NA,"Blackberry, Raspberry",NA,"Y","Y","Y","fruit, greens, shoots]","Y","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 653362","R. occidentalis New YorkORUS 3842","Rubus occidentalis L.","New York, United States","COR",2007,"41.92600000, -73.51080000","Rubus","occidentalis","","","","","Rubus occidentalis"
"136","Rubus occidentalis","Rubus","Rubus occidentalis",NA,NA,"Blackberry, Raspberry",NA,"Y","Y","Y","fruit, greens, shoots]","Y","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 265780","R. occidentalis Minnesota","Rubus occidentalis L.","Minnesota, United States","COR",1984,"44.83333000, -94.91667000","Rubus","occidentalis","","","","","Rubus occidentalis"
"137","Rubus occidentalis","Rubus","Rubus occidentalis",NA,NA,"Blackberry, Raspberry",NA,"Y","Y","Y","fruit, greens, shoots]","Y","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 672641","R. occidentalis #89","Rubus occidentalis L.","Indiana, United States","COR",2011,"39.22420000, -87.22120000","Rubus","occidentalis","","","","","Rubus occidentalis"
"138","Rubus occidentalis","Rubus","Rubus occidentalis",NA,NA,"Blackberry, Raspberry",NA,"Y","Y","Y","fruit, greens, shoots]","Y","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 553764","R. occidentalis MPW 120","Rubus occidentalis L.","Michigan, United States","COR",1987,"42.58333000, -86.00000000","Rubus","occidentalis","","","","","Rubus occidentalis"
"139","Rubus spectabilis","Rubus","Rubus spectabilis",NA,NA,"Blackberry, Raspberry",NA,"Y","Y","Y","fruit, shoots","Y","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","Crop Quality (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 606508","R. spectabilis KHCW 96-02-01","Rubus spectabilis Pursh","Alaska, United States","COR",1996,"60.54389000, -145.75694000","Rubus","spectabilis","","","","","Rubus spectabilis"
"140","Schoenoplectus acutus","Schoenoplectus","Schoenoplectus acutus",NA,NA,"Tule",NA,"N","N","Y","","Y","Food","Materials",NA,"Vegetables","Materials","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","W6 39182","OR030-73","Schoenoplectus acutus (Muhl. ex Bigelow) √Å. L√∂ve & D. L√∂ve","Oregon, United States","W6",2010,"43.07633333, -117.67600000","Schoenoplectus","acutus","","","","","Schoenoplectus acutus"
"141","Sorbus scopulina","Sorbus","Sorbus scopulina",NA,NA,"Rowan",NA,"Y","N","Y","fruit","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","PI 635883","CSOR 11","Sorbus scopulina Greene","Wyoming, United States",NA,1981,"43.50000000, -110.75000000","Sorbus","scopulina","","","","","Sorbus scopulina"
"142","Typha latifolia","Typha","Typha latifolia",NA,NA,"Cattail",NA,"Y","N","Y","greens, rhizomes, shoots","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","OPGC 7052","WY040-82","Typha latifolia L.","Wyoming, United States","OPGC",2012,"41.50992000, -109.45365000","Typha","latifolia","","","","","Typha latifolia"
